,0
0,able
1,about
2,above
3,abroad
4,according
5,accordingly
6,across
7,actually
8,adj
9,after
10,afterwards
11,again
12,against
13,ago
14,ahead
15,ain't
16,all
17,allow
18,allows
19,almost
20,alone
21,along
22,alongside
23,already
24,also
25,although
26,always
27,am
28,amid
29,amidst
30,among
31,amongst
32,an
33,and
34,another
35,any
36,anybody
37,anyhow
38,anyone
39,anything
40,anyway
41,anyways
42,anywhere
43,apart
44,appear
45,appreciate
46,appropriate
47,are
48,aren't
49,around
50,as
51,a's
52,aside
53,ask
54,asking
55,associated
56,at
57,available
58,away
59,awfully
60,back
61,backward
62,backwards
63,be
64,became
65,because
66,become
67,becomes
68,becoming
69,been
70,before
71,beforehand
72,begin
73,behind
74,being
75,believe
76,below
77,beside
78,besides
79,best
80,better
81,between
82,beyond
83,both
84,brief
85,but
86,by
87,came
88,can
89,cannot
90,cant
91,can't
92,caption
93,cause
94,causes
95,certain
96,certainly
97,changes
98,clearly
99,c'mon
100,co
101,co.
102,com
103,come
104,comes
105,concerning
106,consequently
107,consider
108,considering
109,contain
110,containing
111,contains
112,corresponding
113,could
114,couldn't
115,course
116,c's
117,currently
118,dare
119,daren't
120,definitely
121,described
122,despite
123,did
124,didn't
125,different
126,directly
127,do
128,does
129,doesn't
130,doing
131,done
132,don't
133,down
134,downwards
135,during
136,each
137,edu
138,eg
139,eight
140,eighty
141,either
142,else
143,elsewhere
144,end
145,ending
146,enough
147,entirely
148,especially
149,et
150,etc
151,even
152,ever
153,evermore
154,every
155,everybody
156,everyone
157,everything
158,everywhere
159,ex
160,exactly
161,example
162,except
163,fairly
164,far
165,farther
166,few
167,fewer
168,fifth
169,first
170,five
171,followed
172,following
173,follows
174,for
175,forever
176,former
177,formerly
178,forth
179,forward
180,found
181,four
182,from
183,further
184,furthermore
185,get
186,gets
187,getting
188,given
189,gives
190,go
191,goes
192,going
193,gone
194,got
195,gotten
196,greetings
197,had
198,hadn't
199,half
200,happens
201,hardly
202,has
203,hasn't
204,have
205,haven't
206,having
207,he
208,he'd
209,he'll
210,hello
211,help
212,hence
213,her
214,here
215,hereafter
216,hereby
217,herein
218,here's
219,hereupon
220,hers
221,herself
222,he's
223,hi
224,him
225,himself
226,his
227,hither
228,hopefully
229,how
230,howbeit
231,however
232,hundred
233,i'd
234,ie
235,if
236,ignored
237,i'll
238,i'm
239,immediate
240,in
241,inasmuch
242,inc
243,inc.
244,indeed
245,indicate
246,indicated
247,indicates
248,inner
249,inside
250,insofar
251,instead
252,into
253,inward
254,is
255,isn't
256,it
257,it'd
258,it'll
259,its
260,it's
261,itself
262,i've
263,just
264,k
265,keep
266,keeps
267,kept
268,know
269,known
270,knows
271,last
272,lately
273,later
274,latter
275,latterly
276,least
277,less
278,lest
279,let
280,let's
281,like
282,liked
283,likely
284,likewise
285,little
286,look
287,looking
288,looks
289,low
290,lower
291,ltd
292,made
293,mainly
294,make
295,makes
296,many
297,may
298,maybe
299,mayn't
300,me
301,mean
302,meantime
303,meanwhile
304,merely
305,might
306,mightn't
307,mine
308,minus
309,miss
310,more
311,moreover
312,most
313,mostly
314,mr
315,mrs
316,much
317,must
318,mustn't
319,my
320,myself
321,name
322,namely
323,nd
324,near
325,nearly
326,necessary
327,need
328,needn't
329,needs
330,neither
331,never
332,neverf
333,neverless
334,nevertheless
335,new
336,next
337,nine
338,ninety
339,no
340,nobody
341,non
342,none
343,nonetheless
344,noone
345,no-one
346,nor
347,normally
348,not
349,nothing
350,notwithstanding
351,novel
352,now
353,nowhere
354,obviously
355,of
356,off
357,often
358,oh
359,ok
360,okay
361,old
362,on
363,once
364,one
365,ones
366,one's
367,only
368,onto
369,opposite
370,or
371,other
372,others
373,otherwise
374,ought
375,oughtn't
376,our
377,ours
378,ourselves
379,out
380,outside
381,over
382,overall
383,own
384,particular
385,particularly
386,past
387,per
388,perhaps
389,placed
390,please
391,plus
392,possible
393,presumably
394,probably
395,provided
396,provides
397,que
398,quite
399,qv
400,rather
401,rd
402,re
403,really
404,reasonably
405,recent
406,recently
407,regarding
408,regardless
409,regards
410,relatively
411,respectively
412,right
413,round
414,said
415,same
416,saw
417,say
418,saying
419,says
420,second
421,secondly
422,see
423,seeing
424,seem
425,seemed
426,seeming
427,seems
428,seen
429,self
430,selves
431,sensible
432,sent
433,serious
434,seriously
435,seven
436,several
437,shall
438,shan't
439,she
440,she'd
441,she'll
442,she's
443,should
444,shouldn't
445,since
446,six
447,so
448,some
449,somebody
450,someday
451,somehow
452,someone
453,something
454,sometime
455,sometimes
456,somewhat
457,somewhere
458,soon
459,sorry
460,specified
461,specify
462,specifying
463,still
464,sub
465,such
466,sup
467,sure
468,take
469,taken
470,taking
471,tell
472,tends
473,th
474,than
475,thank
476,thanks
477,thanx
478,that
479,that'll
480,thats
481,that's
482,that've
483,the
484,their
485,theirs
486,them
487,themselves
488,then
489,thence
490,there
491,thereafter
492,thereby
493,there'd
494,therefore
495,therein
496,there'll
497,there're
498,theres
499,there's
500,thereupon
501,there've
502,these
503,they
504,they'd
505,they'll
506,they're
507,they've
508,thing
509,things
510,think
511,third
512,thirty
513,this
514,thorough
515,thoroughly
516,those
517,though
518,three
519,through
520,throughout
521,thru
522,thus
523,till
524,to
525,together
526,too
527,took
528,toward
529,towards
530,tried
531,tries
532,truly
533,try
534,trying
535,t's
536,twice
537,two
538,un
539,under
540,underneath
541,undoing
542,unfortunately
543,unless
544,unlike
545,unlikely
546,until
547,unto
548,up
549,upon
550,upwards
551,us
552,use
553,used
554,useful
555,uses
556,using
557,usually
558,v
559,value
560,various
561,versus
562,very
563,via
564,viz
565,vs
566,want
567,wants
568,was
569,wasn't
570,way
571,we
572,we'd
573,welcome
574,well
575,we'll
576,went
577,were
578,we're
579,weren't
580,we've
581,what
582,whatever
583,what'll
584,what's
585,what've
586,when
587,whence
588,whenever
589,where
